,ПРАЙС CASTROMIR ОБЩИЙ,,
,Дата: 20.04.2026,,
,Склад:,ОСНОВНОЙ СКЛАД,
№ п/п,Товар,оптовая заказ,Производитель
,БАКАЛЕЯ,,
1,"Томатная паста ""Фая"" 4.5 кг",4140.9,
2,"Кисель "" ASYL"" 1 кг",1037.9,Казахстан
3,"Кисель ""Вкусный Миг"" 1кг (в ассортименте)",1037.9,Россия
4,"Лапша Ашлян-фу ""ЖУЙ СИНЬ"" 0,16кг",374.5,Китай
5,"Лапша РАМЕН ""MILD"" 5шт*0,12кг (желтый)",535,Корея
,"Лапша РАМЕН ""SAMAYANG CHEESE""",,
6,,909.5,Корея
,"5шт*0,12кг (желтый)",,
,"Лапша Рамен ""SAMAYANG"" 5шт*0,12кг",,
7,,658.05,Корея
,(оранжевый),,
8,"Лапша Рамен ""Shin"" 5шт*0,12кг (красный)",567.1,Корея
,"Лапша Рамен ""SHINN CHEESE"" 5шт*0,12 кг",,
9,,749,Корея
,(желтый),,
,"Лапша Рамен ""САРИ"" ( без приправ ) Ottogi",,
10,,256.8,Китай
,110 гр,,
11,"Лапша Рисовая ""AROY-D"" 5мм 0,454кг",1722.7,Таиланд
12,"Лапша Фунчоза ""ЮНН"" Тапинамбур 0,4кг",866.7,Китай
13,"Лапша рисовая ""MIDORI"" 0,38кг",1605,Китай
14,Листья бамбука 150 гр,2461,Китай
15,"Макароны ""САЛЕМ"" вермишель 5кг",2577.63,Казахстан
16,"Макароны ""САЛЕМ"" витки 5кг",2577.63,Казахстан
17,"Макароны ""САЛЕМ"" паутинка 5кг",2577.63,Казахстан
18,"Макароны ""САЛЕМ"" перья 5кг",2577.63,Казахстан
19,"Макароны ""САЛЕМ"" ракушки 5кг",2577.63,Казахстан
20,"Макароны ""САЛЕМ"" рожки гладкие 5кг",2577.63,Казахстан
21,"Макароны ""САЛЕМ"" рожки рифленые 5кг",2577.63,Казахстан
22,"Макароны ""САЛЕМ"" спираль 5кг",2577.63,Казахстан
23,"Макароны ""ЦЕСНА"" в ассортименте 1.6кг",2247,Казахстан
24,"Молоко кокосовое ""AROY-D"" 0,5л",1722.7,Корея
25,"Морская капуста сушенная 0,11кг",642,Китай
26,"Огурцы маринованные ""Айдынов"" 2л",1080.7,Казахстан
27,"Помидоры черри ""VIT VIT"" 0.67л",963,
28,"Рисовая бумага ""AROY-D"" D22 0.454кг",3177.9,Таиланд
29,Сахар 25кг,12925.6,Казахстан
30,Сахар 50кг,26461.1,Казахстан
31,Сахар в стик-пакетах 5гр.,8.56,Россия
32,"Сахар рафинад ""CRYSTAL"" 0,9кг",898.8,Казахстан
33,"Сахар тростниковый ""FOODREM"" 1кг",2300.5,Корея
34,Сахар фасовка 5кг,2707.1,Казахстан
35,"Соевый соус ""KIKKOMAN"" 19л (оригинал)",37407.2,Китай
36,Соль Гималайская 1кг (крупная),1112.8,Пакистан
37,Соль Гималайская 1кг (мелкая),984.4,Пакистан
