Отчет IMPRO v.1.0 build-727         << S_MARKET >>;;;
ПРАЙС ИМПРО ОБЩИЙ;;;
Дата: 05.05.2026;;;
Склад:   ОСНОВНОЙ СКЛАД;;;
Дни:   ;;;
Реквизиты идополнительные данные;;;
Торговая точка:   Gastro Mir;;;
;;;
№ п/п;Товар;;Производитель
;  БАКАЛЕЯ ;;
1;" Томатная паста ""Фая"" 4.5 кг";3 751,00;
2;"Кисель "" ASYL"" 1 кг";814,00;Казахстан
3;"Кисель ""Вкусный Миг"" 1кг (в ассортименте)";825,00;Россия
4;"Лапша Ашлян-фу ""ЖУЙ СИНЬ"" 0,16кг";330,00;Китай
5;"Лапша РАМЕН ""MILD"" 5шт*0,12кг (желтый)";495,00;Корея
6;"Лапша РАМЕН ""SAMAYANG CHEESE"" 5шт*0,12кг (желтый)";847,00;Корея
7;"Лапша Рамен ""SAMAYANG"" 5шт*0,12кг (оранжевый)";646,80;Корея
8;"Лапша Рамен ""Shin"" 5шт*0,12кг (красный)";561,00;Корея
9;"Лапша Рамен ""SHINN CHEESE"" 5шт*0,12 кг (желтый)";715,00;Корея
10;"Лапша Рамен ""САРИ"" ( без приправ ) Ottogi 110 гр";253,00;Китай
11;"Лапша Рисовая ""AROY-D"" 5мм 0,454кг";1 694,00;Таиланд
12;"Лапша Фунчоза ""ЮНН"" Тапинамбур 0,4кг";748,00;Китай
13;"Лапша рисовая ""MIDORI"" 0,38кг";1 573,00;Китай
14;Листья бамбука 150 гр;2 420,00;Китай
15;"Макароны ""САЛЕМ"" вермишель 5кг ";2 534,40;Казахстан
16;"Макароны ""САЛЕМ"" витки 5кг";2 534,40;Казахстан
17;"Макароны ""САЛЕМ"" паутинка 5кг ";2 534,40;Казахстан
18;"Макароны ""САЛЕМ"" перья 5кг ";2 534,40;Казахстан
19;"Макароны ""САЛЕМ"" ракушки 5кг ";2 534,40;Казахстан
20;"Макароны ""САЛЕМ"" рожки гладкие 5кг ";2 534,40;Казахстан
21;"Макароны ""САЛЕМ"" рожки рифленые 5кг ";2 534,40;Казахстан
22;"Макароны ""САЛЕМ"" спираль 5кг ";2 534,40;Казахстан
23;"Макароны ""ЦЕСНА"" в ассортименте 1.6кг ";2 200,00;Казахстан
24;"Молоко кокосовое ""AROY-D"" 0,5л ";1 694,00;Корея
25;Морская капуста сушенная 0,11кг;550,00;Китай
26;"Огурцы маринованные ""Айдынов"" 2л";946,00;Казахстан
27;"Помидоры черри ""VIT VIT"" 0.67л";935,00;
28;"Рисовая бумага ""AROY-D"" D22 0.454кг";2 860,00;Таиланд
29;Сахар 25кг;12 705,00;Казахстан
30;Сахар 50кг;25 080,00;Казахстан
31;Сахар в стик-пакетах 5гр.;7,70;Россия
32;"Сахар рафинад ""CRYSTAL"" 0,9кг";847,00;Казахстан
33;"Сахар тростниковый ""FOODREM"" 1кг";2 277,00;Корея
34;Сахар фасовка 5кг ;2 442,00;Казахстан
35;"Соевый соус ""KIKKOMAN"" 19л (оригинал)";36 784,00;Китай
36;Соль Гималайская 1кг (крупная) ;1 089,00;Пакистан
37;Соль Гималайская 1кг (мелкая) ;1 089,00;Пакистан
38;"Спаржа ""ЮНН"" 0,23кг сушеная";572,00;Китай
39;"Тарталетки ""ХОМА"" 0,2 кг";792,00;Казахстан
40;Тесто для спринг роллов 40листов;1 980,00;Китай
41;"Фасоль белая ""BONDUELLE"" 0.425кг ";946,00;Россия
42;"Фасоль белая в т\с ""Bonduelle"" 0,425кг";946,00;
43;"Фунчоза ""АЛМАТЫ"" 0,25кг";407,00;Казахстан
44;"Фунчоза ""ДРАКОН"" 0,24кг";451,00;Китай
45;"Фунчоза ""ЮНН"" 0,24кг";682,00;Китай
;  КОЛБАСНЫЕ ИЗДЕЛИЯ И Х/К;;
1;"Ветчина говяжья полукопченая ""АЛИАН"" (вес)";2 255,00;Казахстан
2;"Ветчина говяжья полукопченая ""АРЫС"" (вес)";2 420,00;Казахстан
3;Говядина х/к (вес);6 050,00;Беларусь
4;"Закуска ""Деревенская"" варено-копченая (вес)";3 740,00;Казахстан
5;"Колбаса НАРЛЕН ""Прима""  0,5кг";1 331,00;Казахстан
6;"Колбаса пеперони ""МЯСОДЕЛ"" 0,37 кг";1 342,00;Казахстан
7;"Колбаса пепперони нарезка ""HORECA"" 0,5кг";2 728,00;Россия
8;"Колбаса пепперони нарезка ""HORECA"" 1кг";5 940,00;Россия
9;"Колбаса полукопченая ""МАКСИМОВКА"" (вес)";2 607,00;Казахстан
10;"Колбаса полукопченая ""МАРИЯМ"" (вес)";2 332,00;Казахстан
11;"Колбаса полукопченая Столичная ""НАТУРАЛКА"" (вес)";1 375,00;Казахстан
12;"Колбаса сервелат ""АКБАР"" (вес)";1 463,00;Казахстан
13;"Колбаски Кнут ""СТОЛИЧНЫЕ"" (вес)";1 705,00;Казахстан
14;"Колбаски охотничьи  ""АЛИАН"" (вес) ";1 375,00;Казахстан
